model,loss,accuracy,precision,recall,f1
mbert,0.21774791181087494,0.9203975703866935,0.7082473631433327,0.6982938898896411,0.7032354083422605
electra,0.2229524701833725,0.9185328811560012,0.6946051586687706,0.6960911984786473,0.6953473846137962
berturk,0.2214,0.9189,0.6977,0.6897,0.6937
xlm-r,0.22510989010334015,0.9173633492757948,0.6996779259495861,0.6795284750407156,0.6894560142684781
